timestamp;hashtag;trackterm;count
1572206523000;#yanggang2020;trump;2
1572203731000;#yanggang;sanders;7
1572210394000;#étatsunis;trump;3
1572212431000;#बगदादी;trump;24
1572211313000;#2020departmentofcorrections;trump;3
1572205792000;#45potus;trump;11
1572203627000;#aboubakralbaghdadi;trump;4
1572212673000;#abubakralbagdadi;trump;2
1572203862000;#albaghdadi;sanders;3
1572206489000;#baghdadikilled;trump;19
1572204529000;#baghdadi;trump;759
1572211947000;#baghdadiَ;trump;13
1572211112000;#bashtrumpinthegonads;trump;2
1572210852000;#benladden;trump;4
1572213128000;#bernie2020;trump;24
1572210040000;#bernieindetroit;trump;32
1572215474000;#berniesanders2020;sanders;6
1572214768000;#berniesanders;biden;2
1572216145000;#berniesback;sanders;30
